Student_id,Name,Br_id,Email,City_id
1001,Ankit,101,ankit@bmail.com,1
1002,Pranav@,105,pranav@bmail.com,2
1002,Pranav@,105,pranav@bmail.com,2
1003,Raj,102,raj@bmail.com,2
1004,Shyam,110,shyam@bmail.com,4
1005,Duke@,110,duke@bmail.com,2
1006,Jhon,109,jhon@bmail.com,9
1006,Jhon,109,jhon@bmail.com,9
1007,Aman@,109,aman@bmail.com,4
1008,Pavan,105,pavan@bmail.com,7
1009,Virat@,102,virat@bmail.com,8
1009,Virat@,102,virat@bmail.com,8
1010,Steven@,104,steven@bmail.com,10
1011,Neena,103,neena@bmail.com,2
1011,Neena,103,neena@bmail.com,2
1011,Neena,103,neena@bmail.com,2
1012,Lex@,110,lex@bmail.com,8
1013,Alexander@,106,alexander@bmail.com,2
1014,Bruce,105,bruce@bmail.co,1
1015,David@,101,david@bmail.com,9
1015,David@,101,david@bmail.com,9
1016,Diana,102,diana@bmail.com,5
1017,Daniel@,109,daniel@bmail.com,4
1018,John,107,john@bmail.com,10
1019,Nancy@,108,nancy@bmail.com,1
1019,Nancy@,108,nancy@bmail.com,1
1020,Adam,103,adam@bmail.com,9
1021,Kevin,107,kevin@bmail.com,7
1022,Julia,108,julia@bmail.com,1
1022,Julia,108,julia@bmail.com,1
1023,James@,110,james@bmail.com,8
1024,Peter,105,peter@bmail.com,2
1025,Sindhu@,106,sindhu@bmail.com,10
1025,Sindhu@,106,sindhu@bmail.com,10
1026,Geetha,101,geetha@bmail.com,8
1027,Harsitha@,102,harshitha@bmail.com,5
1028,Manasa@,104,manasa@bmail.com,2
1029,Ramya,101,ramya@bmail.com,9
1030,Keerthana@,109,keerthana@bmail.com,1
1030,Keerthana@,109,keerthana@bmail.com,1
1031,Swathi@,103,swathi@bmail.com,5
1032,Pooja,104,pooja@bmail.com,3
1033,Jenifer,105,jennifer@bmail.com,2
1034,Sara,108,sara@bmail.com,10
1034,Sara,108,sara@bmail.com,10
1035,Maria@,107,maria@bmail.com,4
1036,Jyothi,106,jyothi@bmail.com,8
1037,Archana,104,archana@bmail.com,1
1038,Rachana@,110,rachana@bmail.com,4
1039,Nithin,101,nithin@bmail.com,10
1039,Nithin,101,nithin@bmail.com,10
1040,Raghu,102,raghu@bmail.com,9
1041,Shiva,101,shiva@bmail.com,2
1042,Raghav@,103,raghav@bmail.com,8
1043,Madhu@,102,madhu@bmail.com,3
1044,Vishal,104,vishal@bmail.com,5
1044,Vishal,104,vishal@bmail.com,5
1045,Lavanya@,102,lavanya@bmail.com,2
1046,Sunil,107,sunil@bmail.com,7
1047,Ram,109,ram@bmail.com,9
1048,Suresh@,105,suresh@bmail.com,1
1048,Suresh@,105,suresh@bmail.com,1
1049,Yash,106,yash@bmail.com,4
1050,Kavya@,110,kavya@bmail.com,2
1051,monika,102,monika@bmail.com,1
1052,pavan,110,pavan@bmail.com,2
1053,vasundha@,106,vasudha@bmail.com,9
1053,vasundha@,106,vasudha@bmail.com,9
1054,anil,102,anil@bmail.com,10
1055,vinay,107,vinay@bmail.com,7
1056,ajay@,104,ajay@bmail.com,6
1057,anuradha@,105,anuradha@bmail.com,9
1057,anuradha@,105,anuradha@bmail.com,9
1058,vijay,108,vijay@bmail.com,2
1059,milan@,101,milan@bmail.com,1
1060,heena@,106,heena@bmail.com,6
1061,raj,104,raj@bmail.com,4
1062,nakul@,109,nakul@bmail.com,2
1062,nakul@,109,nakul@bmail.com,2
1063,bheem,103,bheem@bmail.com,1
1064,chiru,110,chiru@bmail.com,9
1064,chiru,110,chiru@bmail.com,9
1065,uthra@,104,uthra@bmail.com,10
1066,treesa@,105,treesa@bmail.com,8
1066,treesa@,105,treesa@bmail.com,8
1067,dhana,101,dhana@bmail.com,1
1068,veera@,103,veera@bmail.com,4
1069,pankaj@,109,pankaj@bmail.com,3
1069,pankaj@,109,pankaj@bmail.com,3
1070,jhansi,110,jhansi@bmail.com,5
1071,arvind@,102,arvind@bmail.com,9
1072,kajol@,106,kajol@bmail.com,10
1073,vikram,110,vikram@bmail.com,8
1073,vikram,110,vikram@bmail.com,8
1074,sudha,108,sudha@bmail.com,5
1075,nagesh,105,nagesh@bmail.com,9
